"","ID","MonthlyIncome"
"1",871,5734.40531202376
"2",872,2596.35040954502
"3",873,12208.5258179721
"4",874,2312.27104953788
"5",875,2403.185270723
"6",876,6087.45854096764
"7",877,5785.34921440711
"8",878,2250.66611667516
"9",879,2812.66237892623
"10",880,12676.9325831195
"11",881,9678.56829499196
"12",882,2419.64564609536
"13",883,5688.94820143121
"14",884,5648.97788262944
"15",885,5925.64456170933
"16",886,5889.92573802647
"17",887,6006.95781097972
"18",888,5984.45142163392
"19",889,5355.59161187598
"20",890,2637.99138465347
"21",891,5566.77990233662
"22",892,8652.32812616577
"23",893,8699.66056612678
"24",894,5688.94820143121
"25",895,9718.03589609212
"26",896,8989.3644414365
"27",897,8850.92949701058
"28",898,16036.2039015792
"29",899,5870.77664380144
"30",900,2652.78110371915
"31",901,2379.67532729359
"32",902,5971.10167230188
"33",903,6289.30144644979
"34",904,2487.04992385108
"35",905,16351.2781231946
"36",906,5603.52077203688
"37",907,9299.51109344377
"38",908,6002.47457327253
"39",909,2250.66611667516
"40",910,2403.54838359321
"41",911,19094.4114116076
"42",912,2683.44849524603
"43",913,2419.64564609536
"44",914,12929.4030770099
"45",915,6024.42174043569
"46",916,5117.33247533161
"47",917,2494.46260477832
"48",918,5643.49109083865
"49",919,2296.12726514949
"50",920,2690.82553338446
"51",921,2437.98538871796
"52",922,2130.44260716765
"53",923,5412.33485915233
"54",924,5646.82841998059
"55",925,16855.2303552373
"56",926,2556.01697787304
"57",927,5870.77664380144
"58",928,13185.6747137771
"59",929,2130.44260716765
"60",930,2454.12917310634
"61",931,6098.06219676423
"62",932,12736.5903996423
"63",933,8670.35127780438
"64",934,2307.0968108493
"65",935,2205.2090060826
"66",936,2363.52750502343
"67",937,9128.65623465511
"68",938,9397.22821360549
"69",939,6036.24860736832
"70",940,2296.12726514949
"71",941,2896.47647228631
"72",942,8737.7555555601
"73",943,9526.98681100596
"74",944,5815.15933911151
"75",945,2250.67015455693
"76",946,5757.72509085377
"77",947,2370.89366406445
"78",948,2494.46260477832
"79",949,2803.67200475355
"80",950,5871.08919690365
"81",951,2834.60954608939
"82",952,5785.34921440711
"83",953,5870.58647920204
"84",954,2363.21495192123
"85",955,5315.62129307421
"86",956,8389.9723598094
"87",957,10279.4223763925
"88",958,2550.53018608225
"89",959,9274.62853834751
"90",960,19807.1401350847
"91",961,2630.833936556
"92",962,5566.77990233662
"93",963,6125.30599111878
"94",964,5726.76905758413
"95",965,2449.00549418576
"96",966,19193.937977116
"97",967,2585.37682596344
"98",968,8670.35127780438
"99",969,16695.3490800302
"100",970,2398.01103203441
"101",971,5734.40531202376
"102",972,5945.04032501479
"103",973,2317.75784132867
"104",974,2403.54838359321
"105",975,5860.61644970407
"106",976,2614.68611428584
"107",977,6441.94298900044
"108",978,2711.08712726174
"109",979,9200.18961902693
"110",980,19041.9153843739
"111",981,2528.89960990307
"112",982,8963.47833225664
"113",983,2379.67532729359
"114",984,2483.44249931051
"115",985,5790.8360061979
"116",986,2818.46172381923
"117",987,2483.80157429895
"118",988,5750.86568739613
"119",989,9382.01806139716
"120",990,2499.94939656911
"121",991,5794.17333533985
"122",992,2585.37682596344
"123",993,5710.30868221177
